College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Unique_Number
CLG0016,105,5.36,5.11,10,No,2,8,0,No,49
CLG0076,73,8.72,8.48,10,Yes,0,5,5,No,50
CLG0014,104,8.56,8.15,7,No,9,8,4,Yes,51
CLG0047,94,5.29,5.18,7,Yes,3,10,5,No,52
CLG0054,89,7.8,7.89,1,Yes,3,4,1,No,53
CLG0058,109,5.42,5.5,10,No,10,4,1,No,54
CLG0077,115,9.52,9.56,5,No,4,6,3,Yes,55
CLG0030,113,9.54,9.38,3,No,2,10,3,Yes,56
CLG0100,87,8.49,8.7,2,No,10,5,3,No,57
CLG0046,95,9.63,9.96,5,No,1,5,3,No,58
CLG0016,104,9.06,8.91,5,No,1,9,4,Yes,59
CLG0001,114,9.14,8.73,2,Yes,7,6,2,Yes,60
CLG0041,92,7.85,7.65,6,No,6,3,3,No,61
CLG0093,97,6.53,6.17,7,No,0,4,3,No,62
CLG0027,83,6.09,6.06,1,No,8,9,0,No,63
CLG0077,82,6.64,6.3,3,No,2,6,5,No,64
CLG0062,112,8.14,8.1,4,No,2,8,1,Yes,65
CLG0081,120,5.86,5.58,2,No,0,7,4,No,66
CLG0028,98,6.29,6.53,10,Yes,10,1,1,No,67
CLG0020,115,7.34,6.87,5,Yes,3,1,2,No,68
CLG0055,105,6.17,6.22,4,No,9,10,4,No,69
CLG0051,90,7.94,7.61,2,No,10,7,2,No,70
CLG0069,105,9.62,9.12,1,Yes,1,2,1,No,71
CLG0088,123,8.74,9.11,8,No,2,9,0,Yes,72
CLG0073,99,8.33,8.5,2,No,10,10,3,Yes,73
CLG0097,123,7.91,7.51,4,No,0,9,1,No,74
CLG0034,60,7.44,7.6,10,Yes,2,2,4,No,75
CLG0027,112,5.93,6.04,5,No,3,9,3,Yes,76
CLG0097,101,9.47,9.44,2,No,5,9,4,Yes,77
CLG0038,95,6.24,6.16,10,No,2,10,2,No,78
CLG0029,101,5.46,5.85,9,Yes,10,6,4,No,79
CLG0035,70,8.75,8.5,2,No,5,5,0,No,80
CLG0020,96,5.88,5.78,6,No,1,10,2,No,81
CLG0019,105,6.86,6.69,7,No,10,2,5,No,82
CLG0005,122,5.14,5.41,6,No,7,6,5,No,83
CLG0025,92,5.69,6.11,4,No,4,9,1,No,84
CLG0093,87,5.87,6.22,1,No,0,3,3,No,85
CLG0026,92,5.27,5.57,2,No,5,3,3,No,86
CLG0051,113,8.28,8.77,10,No,2,4,0,No,87
CLG0066,104,9.19,9.39,10,Yes,3,10,4,Yes,88
CLG0061,92,6.87,7.12,6,No,9,4,1,No,89
CLG0015,107,9.37,9.85,8,Yes,7,1,5,No,90
CLG0045,101,6.07,5.58,3,Yes,7,2,4,No,91
CLG0006,114,6.63,6.76,7,No,10,6,5,No,92
CLG0058,89,5.75,5.99,9,No,7,5,4,No,93
CLG0001,95,8.1,8.52,4,Yes,4,10,0,No,94
CLG0073,94,7.1,7.48,7,No,0,4,5,No,95
CLG0043,78,8.07,8.41,7,No,8,10,2,Yes,96
CLG0016,104,8.81,9.26,10,No,10,9,5,Yes,97
CLG0014,103,7.73,7.77,9,Yes,8,2,2,No,98
CLG0074,100,8.14,7.65,3,No,7,8,0,No,99
CLG0019,96,9.68,9.19,1,Yes,10,4,0,No,100
CLG0051,78,6.5,6.54,8,Yes,2,9,0,No,101
CLG0008,93,6.8,6.74,4,No,5,4,4,No,102
CLG0048,94,8.59,8.54,2,No,6,2,5,No,103
CLG0012,87,8.06,7.96,5,No,3,6,5,No,104
CLG0070,97,5.89,6.31,4,No,9,9,4,No,105
CLG0035,106,6.88,6.74,1,Yes,6,7,1,No,106
CLG0070,128,7.34,7.7,7,No,8,1,0,No,107
CLG0006,102,7.1,7.5,4,No,5,9,4,No,108
CLG0099,103,5.89,5.89,8,Yes,1,6,2,No,109
CLG0011,98,9.62,9.57,9,No,5,9,5,Yes,110
CLG0038,71,8.81,9.07,8,Yes,2,2,5,No,111
CLG0091,99,7.41,7.62,1,No,6,7,0,No,112
CLG0026,100,8.4,8.23,8,Yes,2,8,2,Yes,113
CLG0028,136,9.49,9.09,5,No,7,8,3,Yes,114
CLG0072,97,5.68,5.44,1,Yes,10,5,1,No,115
CLG0089,104,6.25,5.88,9,Yes,10,7,3,No,116
CLG0083,99,7.71,7.5,9,No,4,7,1,No,117
CLG0080,82,9,8.76,7,No,2,3,0,No,118
CLG0050,117,5.18,5.32,7,No,0,2,5,No,119
CLG0058,111,9.92,10.37,1,No,4,5,1,No,120
CLG0026,111,7.27,7.46,9,No,9,4,4,No,121
CLG0044,86,6.8,7.23,1,Yes,9,8,2,No,122
CLG0015,121,6.46,6.74,7,No,10,5,5,No,123
CLG0076,78,5.87,6.1,9,No,2,9,4,No,124
CLG0024,108,8.96,8.87,9,No,3,7,0,No,125
CLG0077,132,9.78,9.6,5,No,9,1,3,Yes,126
CLG0059,85,7.07,7.42,6,No,3,2,2,No,127
CLG0057,91,9.76,10.17,2,No,2,8,0,No,128
CLG0017,101,9.12,9.07,2,No,5,10,4,Yes,129
CLG0077,92,7.41,6.92,10,No,5,8,4,No,130
CLG0081,76,8.37,8.66,9,No,0,2,1,No,131
CLG0001,101,7.17,6.96,1,No,3,7,1,No,132
CLG0011,84,7.79,7.3,10,Yes,0,8,3,No,133
CLG0020,107,5.29,5.59,5,Yes,6,4,1,No,134
CLG0031,86,8.48,8.5,7,No,6,3,1,No,135
CLG0099,123,5.26,5.45,10,Yes,5,10,1,No,136
CLG0039,88,9.09,9.5,6,No,10,9,3,Yes,137
CLG0063,95,9.12,9.16,6,No,1,2,0,No,138
CLG0006,112,6.19,6.19,6,No,3,3,5,No,139
CLG0099,81,6.62,6.41,8,No,2,8,2,No,140
CLG0028,103,7.41,7.22,7,Yes,10,2,0,No,141
CLG0051,119,7.98,8.28,5,No,7,5,5,Yes,142
CLG0053,75,6.44,6.39,10,No,1,10,5,No,143
CLG0044,102,7.96,7.62,2,Yes,9,8,0,No,144
CLG0065,103,6.49,6.08,10,No,1,7,0,No,145
CLG0080,111,5.28,5.25,6,Yes,0,4,4,No,146
CLG0012,81,5.01,4.97,10,No,8,10,2,No,147
CLG0028,80,5.51,5.66,5,No,2,9,2,No,148
CLG0079,107,8.96,8.93,4,Yes,7,2,4,No,149
CLG0072,104,9.81,9.45,10,No,6,7,5,No,150
CLG0068,103,7.13,7.14,5,No,0,7,4,No,151
CLG0095,105,7.56,7.97,9,No,10,7,5,No,152
CLG0030,89,5.73,5.39,2,Yes,5,7,1,No,153
CLG0035,103,7.76,7.95,6,No,7,5,4,No,154
CLG0006,104,5.72,5.81,9,No,5,1,3,No,155
CLG0085,89,8.06,8.31,10,No,8,4,4,No,156
CLG0030,127,9.67,9.32,5,Yes,9,5,1,No,157
CLG0080,107,5.98,6.42,6,No,2,10,4,No,158
CLG0063,82,8.82,8.94,10,No,5,4,3,No,159
CLG0008,109,5.12,5.47,4,Yes,9,7,4,No,160
CLG0091,85,6.88,6.63,5,No,3,2,5,No,161
CLG0033,111,5.55,5.79,8,No,9,2,0,No,162
CLG0043,117,6.76,7.04,1,Yes,2,2,2,No,163
CLG0076,87,5.87,5.77,1,Yes,7,10,3,No,164
CLG0043,114,6.87,6.75,10,Yes,6,3,3,No,165
CLG0045,106,7.09,7.25,4,Yes,6,5,3,No,166
CLG0087,112,6.5,6.09,10,Yes,4,10,5,Yes,167
CLG0054,128,8.28,8.52,3,Yes,0,9,0,Yes,168
CLG0065,96,9.59,9.13,5,Yes,5,3,0,No,169
CLG0007,88,7,6.69,10,Yes,5,6,2,No,170
CLG0036,86,5.96,6.12,8,Yes,2,6,1,No,171
CLG0025,87,6.35,5.95,1,No,4,6,2,No,172
CLG0085,98,9.27,9.74,5,No,8,5,3,No,173
CLG0037,105,7.86,8.23,5,No,6,2,3,No,174
CLG0012,104,7.28,7.41,2,Yes,7,1,3,No,175
CLG0032,112,5.75,6.07,5,Yes,8,5,2,No,176
CLG0049,100,7.25,7.64,8,Yes,5,8,1,No,177
CLG0038,121,6.39,6.15,10,Yes,4,10,1,No,178
CLG0056,96,9.72,10.07,7,No,9,5,2,No,179
CLG0080,140,9.42,9.11,2,No,4,3,5,Yes,180
CLG0065,109,5.42,5.33,6,Yes,4,3,3,No,181
CLG0026,87,7.58,7.64,10,No,3,2,2,No,182
CLG0057,83,6.13,6.34,1,No,1,7,2,No,183
CLG0014,107,7.05,6.58,10,No,6,2,4,No,184
CLG0056,96,9.38,9.17,10,Yes,6,6,4,No,185
CLG0070,110,7.64,7.75,3,Yes,7,8,0,No,186
CLG0041,107,6.67,6.53,6,No,7,8,0,No,187
CLG0051,98,6.04,6.32,9,Yes,10,2,2,No,188
CLG0084,87,9,9.15,1,No,7,6,4,No,189
CLG0067,77,8.12,7.85,6,Yes,8,3,3,No,190
CLG0012,93,7.34,6.99,2,Yes,5,9,0,No,191
CLG0097,112,6.09,6.22,9,Yes,3,3,3,No,192
CLG0049,103,6.67,6.62,2,Yes,1,1,3,No,193
CLG0001,81,9.8,9.47,3,No,4,9,0,No,194
CLG0019,102,7.6,7.43,2,Yes,5,8,5,No,195
CLG0066,105,7,6.8,4,Yes,6,2,2,No,196
CLG0058,86,7.61,7.22,4,No,5,10,4,No,197
CLG0087,102,8.89,8.94,10,Yes,3,10,0,No,198
CLG0072,100,6.7,6.96,1,Yes,3,3,1,No,199
CLG0098,82,5.89,5.97,8,Yes,6,7,1,No,200
CLG0004,105,7.92,8.25,5,Yes,0,6,3,No,201
CLG0008,108,8.33,7.96,8,No,2,8,1,No,202
CLG0027,116,8.56,8.5,6,Yes,9,10,3,Yes,203
CLG0026,115,9.41,9.52,2,No,1,5,5,Yes,204
CLG0097,79,6.86,7.04,7,No,1,5,5,No,205
CLG0043,85,5.38,5.58,10,No,6,2,5,No,206
CLG0040,107,9.79,10.02,9,No,4,6,5,No,207
CLG0050,107,7.18,7.33,7,Yes,2,5,5,No,208
CLG0067,107,8.12,7.71,5,No,8,9,4,No,209
CLG0073,157,8.33,8.53,4,No,8,3,0,No,210
CLG0074,108,7.73,7.95,8,No,2,5,0,No,211
CLG0029,117,6.03,6.52,6,No,1,3,4,No,212
CLG0085,114,8.78,8.97,5,Yes,2,9,3,Yes,213
CLG0042,109,9.02,9.21,7,Yes,8,9,5,Yes,214
CLG0018,95,7.76,7.77,3,Yes,7,10,2,No,215
CLG0081,111,7.44,7.81,9,No,2,7,1,No,216
CLG0021,88,5.57,6.07,4,No,3,1,5,No,217
CLG0067,96,5.42,5.7,4,No,4,9,4,No,218
CLG0062,92,6.7,6.81,8,No,3,9,1,No,219
CLG0027,101,6.55,6.13,6,Yes,10,10,2,No,220
CLG0096,134,9.77,10,1,Yes,1,5,3,Yes,221
CLG0093,71,8.92,9.13,2,No,10,2,5,No,222
CLG0047,110,8.3,8.58,9,No,8,1,1,No,223
CLG0093,75,7.59,7.21,6,No,1,2,3,No,224
CLG0026,92,5.84,5.99,7,Yes,4,4,5,No,225
CLG0009,116,9.89,9.69,9,No,10,4,2,Yes,226
CLG0091,100,6.88,7.14,3,Yes,8,1,3,No,227
CLG0012,83,5.53,5.27,5,Yes,7,8,2,No,228
CLG0016,89,7.47,7.65,5,Yes,0,10,0,No,229
CLG0047,110,9.37,9.16,10,No,2,8,1,No,230
CLG0056,89,9.44,8.95,7,Yes,9,8,1,No,231
CLG0066,103,5.05,5.18,2,Yes,8,5,2,No,232
CLG0051,100,9.43,9.04,4,No,2,10,2,Yes,233
CLG0027,90,6.36,6.52,4,No,10,2,4,No,234
CLG0073,132,5.19,5.62,8,Yes,3,4,2,No,235
CLG0066,109,9.24,9.71,10,Yes,2,1,2,No,236
CLG0062,69,9.32,9.06,3,No,6,10,3,Yes,237
CLG0071,102,7.98,8.29,2,No,8,1,3,No,238
CLG0008,90,7.87,7.72,9,No,3,10,1,No,239
CLG0038,112,9.07,9.47,4,No,8,3,3,Yes,240
CLG0006,88,8.93,9.22,9,Yes,1,4,3,No,241
CLG0059,98,9.45,9.02,6,No,1,3,1,No,242
CLG0019,107,7.76,7.67,1,No,8,3,5,No,243
CLG0079,112,9.84,9.68,3,No,6,8,0,Yes,244
CLG0056,81,9.98,10.27,7,No,4,4,4,No,245
CLG0028,94,5.58,5.49,9,Yes,4,3,3,No,246
CLG0094,92,9.25,9.43,8,Yes,8,9,0,No,247
CLG0091,90,7.5,7.6,5,Yes,10,1,4,No,248
CLG0010,126,6.94,7.42,8,Yes,3,8,1,No,249
CLG0045,106,8.07,8.51,2,No,10,5,3,No,250
CLG0095,81,5.28,5.21,3,No,0,8,5,No,251
CLG0065,113,7.53,7.75,8,No,5,10,3,Yes,252
CLG0050,131,9.35,9.68,9,Yes,2,3,2,Yes,253
CLG0032,115,6.07,6.47,10,No,1,6,3,No,254
CLG0061,77,7.13,6.7,8,Yes,3,7,3,No,255
CLG0016,92,9.7,9.5,4,Yes,8,8,0,No,256
CLG0006,119,7.14,6.96,6,No,7,7,0,No,257
CLG0066,89,6.79,6.72,5,Yes,6,7,3,No,258
CLG0062,106,7.2,6.87,4,No,1,2,5,No,259
CLG0066,111,7.6,7.6,9,Yes,0,3,4,No,260
CLG0067,86,8.16,8.32,10,No,6,6,1,No,261
CLG0019,99,9,9,3,No,9,3,5,No,262
CLG0004,51,7.26,7.43,1,No,4,9,0,No,263
CLG0043,84,9.09,8.66,7,No,10,9,5,Yes,264
CLG0018,96,7.67,8.05,10,Yes,7,6,5,No,265
CLG0082,81,6.69,7.13,8,Yes,4,1,4,No,266
CLG0046,124,8.29,8.41,3,No,9,1,5,Yes,267
CLG0046,78,8.59,8.97,3,No,4,4,3,No,268
CLG0085,93,7.79,7.42,6,No,7,10,2,No,269
CLG0021,101,5.28,5.58,2,No,8,8,0,No,270
CLG0030,121,5.85,5.47,6,No,1,3,5,No,271
CLG0064,78,6.43,6.34,5,No,7,4,0,No,272
CLG0041,117,6.41,6.23,7,No,6,6,2,No,273
CLG0017,100,8.37,8.46,9,No,7,9,3,Yes,274
CLG0005,85,5.09,4.89,9,No,2,4,0,No,275
CLG0005,106,8.78,8.92,1,No,3,3,3,No,276
CLG0073,102,6.33,6.2,7,No,6,10,4,No,277
CLG0075,90,6.55,6.91,3,No,4,10,0,No,278
CLG0048,101,7.64,7.77,4,Yes,6,9,3,No,279
CLG0078,94,6.08,5.8,2,Yes,5,7,4,No,280
CLG0038,101,9.42,9.26,1,No,3,9,5,Yes,281
CLG0006,109,5.43,5.78,10,Yes,1,10,0,No,282
CLG0058,123,7.22,7.11,3,Yes,5,6,1,No,283
CLG0014,81,9.25,9.29,10,No,5,4,3,No,284
CLG0072,131,8.08,8.23,9,No,5,5,4,Yes,285
CLG0094,70,6.46,6.31,1,Yes,0,10,5,No,286
CLG0059,97,7.1,6.89,3,No,5,2,1,No,287
CLG0065,108,8.53,8.51,5,Yes,1,3,3,No,288
CLG0089,104,9.87,9.58,3,No,9,5,0,No,289
CLG0013,90,9.47,9.25,4,No,4,3,5,No,290
CLG0027,96,6.71,6.27,4,No,6,3,3,No,291
CLG0025,92,9.99,9.79,1,Yes,9,9,4,Yes,292
CLG0056,91,5.02,4.84,6,Yes,0,4,0,No,293
CLG0068,112,5.14,5.6,7,Yes,4,4,0,No,294
CLG0059,105,9.12,9.21,7,Yes,8,1,5,No,295
CLG0095,89,6,6.29,6,No,2,7,0,No,296
CLG0049,113,5.3,4.85,7,No,1,10,2,Yes,297
CLG0018,104,6.19,5.8,3,Yes,9,9,4,No,298
CLG0081,112,7.13,7.44,5,Yes,1,8,1,No,299
CLG0075,109,8.65,8.77,7,Yes,2,2,0,No,300
CLG0076,87,8.12,7.81,10,No,0,6,4,No,301
CLG0003,91,6.19,6.09,5,Yes,1,10,2,No,302
CLG0079,111,7.52,7.56,10,Yes,5,10,2,Yes,303
CLG0057,109,9.63,9.97,2,Yes,7,5,5,No,304
CLG0006,99,9.08,8.64,6,No,3,8,0,No,305
CLG0069,101,6.62,6.72,7,Yes,1,1,4,No,306
CLG0031,119,9.91,10.13,2,No,4,9,2,Yes,307
CLG0008,91,8.54,9.02,10,No,2,9,0,No,308
CLG0010,108,5.31,5.62,8,Yes,4,7,5,No,309
CLG0003,96,5.18,4.96,5,Yes,2,8,3,No,310
CLG0012,96,5.84,6.05,8,No,10,9,3,No,311
CLG0092,116,8.64,8.9,3,No,3,5,3,Yes,312
CLG0076,112,5.92,6.15,2,Yes,4,2,1,No,313
CLG0094,112,7.56,7.88,7,Yes,6,1,4,No,314
CLG0019,119,5.47,5.87,5,Yes,1,5,5,No,315
CLG0021,100,9.6,9.2,5,No,5,8,3,Yes,316
CLG0081,110,6.72,6.32,8,No,5,10,2,No,317
CLG0014,95,9.54,9.84,9,No,5,4,1,No,318
CLG0075,104,9.72,9.47,8,Yes,6,4,3,No,319
CLG0029,98,5.03,4.59,10,No,10,4,0,No,320
CLG0007,101,7.32,7.22,2,No,2,8,2,No,321
CLG0049,108,5.12,5.44,10,Yes,4,7,1,No,322
CLG0065,87,9.54,9.17,7,No,8,1,1,No,323
CLG0007,131,7.59,7.76,5,No,8,10,2,Yes,324
CLG0014,84,5.37,4.87,7,Yes,6,6,3,No,325
CLG0016,81,5.55,5.16,3,Yes,8,4,5,No,326
CLG0099,117,6.92,6.77,4,Yes,2,2,5,No,327
CLG0016,111,9.7,9.28,7,No,6,3,0,No,328
CLG0085,109,8.46,8.81,2,No,0,4,0,No,329
CLG0013,109,9.34,9.7,2,No,6,10,5,Yes,330
CLG0082,99,6.83,7.09,1,Yes,2,7,5,No,331
CLG0029,86,5.22,4.96,1,No,2,1,0,No,332
CLG0085,101,9.87,9.89,1,Yes,6,1,1,No,333
CLG0073,89,5.09,4.77,6,Yes,7,3,3,No,334
CLG0095,114,9.74,9.52,5,Yes,3,2,5,Yes,335
CLG0061,97,6.84,6.86,10,Yes,0,3,5,No,336
CLG0037,87,5.05,5.29,8,No,4,3,2,No,337
CLG0017,95,8.45,8.04,5,Yes,9,1,4,No,338
CLG0031,106,9.9,9.7,1,Yes,3,6,0,No,339
CLG0059,91,9.83,10.26,8,No,8,8,2,Yes,340
CLG0088,87,5.8,5.73,6,No,2,5,5,No,341
CLG0047,103,5.91,6.35,8,Yes,3,1,5,No,342
CLG0006,103,7.83,8.32,2,Yes,9,10,2,Yes,343
CLG0032,92,8.19,8.22,10,Yes,2,7,5,No,344
CLG0031,92,8.7,8.49,8,No,2,10,0,No,345
CLG0018,103,5.91,6.2,6,No,6,9,4,No,346
CLG0009,78,9.8,9.46,1,No,4,7,1,No,347
CLG0003,78,8.19,7.94,1,Yes,4,9,1,No,348
CLG0071,89,9.24,9.52,10,No,3,10,3,Yes,349
CLG0026,96,7.7,7.63,5,No,9,9,5,No,350
CLG0013,104,7.07,6.77,7,Yes,7,2,1,No,351
CLG0034,122,9.89,10.04,4,No,0,8,2,Yes,352
CLG0043,112,7.91,8.14,10,No,10,7,1,No,353
CLG0093,97,9.33,8.96,5,No,8,7,3,No,354
CLG0033,99,9.77,9.55,10,No,10,2,2,No,355
CLG0069,84,8.38,8.1,3,No,8,1,2,No,356
CLG0036,99,7.74,7.62,2,No,10,4,4,No,357
CLG0079,95,5.02,5.28,2,No,4,7,5,No,358
CLG0074,104,5.2,5.41,5,No,0,6,0,No,359
CLG0068,87,6,6.16,4,Yes,1,10,0,No,360
CLG0047,107,5.93,5.44,2,No,1,2,0,No,361
CLG0061,122,6.27,5.91,5,Yes,5,7,3,No,362
CLG0045,98,6.52,6.24,10,Yes,9,10,1,No,363
CLG0096,106,6.8,6.57,9,No,8,9,0,No,364
CLG0088,110,7.1,6.75,8,No,2,2,1,No,365
CLG0084,93,5.49,5.4,9,No,7,10,0,No,366
CLG0048,103,5.21,4.79,9,No,1,5,4,No,367
CLG0041,100,8.37,8.62,8,No,4,2,1,No,368
CLG0038,101,7.69,7.98,9,No,3,1,3,No,369
CLG0068,88,7.22,7.29,4,No,4,7,5,No,370
CLG0075,100,8.17,7.76,8,Yes,3,2,5,No,371
CLG0011,107,9.14,9.53,2,No,0,6,3,No,372
CLG0016,121,7.14,7.61,9,No,0,7,1,No,373
CLG0065,114,8.21,7.91,9,No,5,1,5,No,374
CLG0097,132,9.77,9.97,3,No,7,9,3,Yes,375
CLG0071,88,9.2,9.54,6,No,6,6,2,No,376
CLG0067,113,7.13,7.17,7,Yes,3,2,3,No,377
CLG0071,102,8.22,8.04,3,Yes,4,1,4,No,378
CLG0001,132,5.89,5.87,5,No,7,1,4,No,379
CLG0097,87,7.8,7.81,1,No,5,2,1,No,380
CLG0071,87,9.91,9.81,3,Yes,7,9,3,Yes,381
CLG0004,91,7.59,8.02,8,No,5,2,1,No,382
CLG0082,68,9.64,9.88,3,No,7,1,0,No,383
CLG0037,92,7.04,6.78,8,Yes,3,4,2,No,384
CLG0014,88,9.99,10.08,9,No,9,9,1,No,385
CLG0079,102,7.9,8.09,6,Yes,1,8,1,No,386
CLG0025,105,5.21,4.85,7,No,2,7,1,No,387
CLG0082,128,7.93,7.79,6,No,4,8,5,Yes,388
CLG0004,114,6.37,6.78,8,No,3,2,1,No,389
CLG0066,91,5.16,5.23,7,No,4,5,5,No,390
CLG0043,86,9.1,8.82,10,No,0,7,4,No,391
CLG0026,107,6.38,6,1,No,0,1,2,No,392
CLG0084,80,8.98,9,3,Yes,1,6,0,No,393
CLG0015,127,6.44,6.49,3,No,10,7,2,No,394
CLG0006,117,5.97,5.8,3,No,1,8,1,No,395
CLG0037,92,9.87,10,4,Yes,7,5,4,No,396
CLG0043,74,6.81,6.38,1,No,9,8,0,No,397
CLG0042,120,8.01,7.66,2,Yes,3,10,5,Yes,398
CLG0013,98,8.05,8.1,5,No,5,1,1,No,399
CLG0016,118,7.8,7.36,6,Yes,1,4,5,No,400
CLG0042,76,9.57,9.95,9,Yes,0,6,1,No,401
CLG0038,91,8.37,8.01,2,No,6,4,3,No,402
CLG0066,100,7.02,7.19,9,No,3,5,2,No,403
CLG0065,100,9.31,9.2,7,No,3,2,2,No,404
CLG0005,93,5.91,5.81,9,No,1,7,2,No,405
CLG0030,109,7.72,7.98,4,Yes,8,9,3,No,406
CLG0095,83,9.75,9.75,7,Yes,1,7,4,No,407
CLG0043,97,8.13,8.36,1,Yes,4,1,4,No,408
CLG0032,101,9.08,9.09,8,No,5,2,4,No,409
CLG0067,107,8.27,8.36,7,Yes,2,8,5,Yes,410
CLG0067,110,9.2,9.46,7,No,10,1,0,No,411
CLG0042,83,9.72,9.83,2,Yes,2,2,3,No,412
CLG0005,76,6.36,6.48,10,Yes,5,5,3,No,413
CLG0099,119,5.85,6.14,9,Yes,4,6,4,No,414
CLG0086,104,7.42,7.87,8,No,4,1,4,No,415
CLG0096,88,8.51,8.39,1,Yes,4,1,4,No,416
CLG0059,123,6.14,6.22,1,Yes,8,2,3,No,417
CLG0023,101,5.02,4.61,5,No,7,3,4,No,418
CLG0008,117,6.71,6.57,2,Yes,3,9,2,Yes,419
CLG0068,101,9.84,9.75,1,No,5,3,4,No,420
CLG0070,130,8.47,8.81,10,No,4,8,2,Yes,421
CLG0091,126,7.01,7.02,8,Yes,10,6,1,No,422
CLG0019,96,5.96,6.19,4,No,5,10,1,No,423
CLG0044,114,6.78,6.3,2,No,10,5,3,No,424
CLG0093,109,5.85,5.81,5,No,7,9,0,No,425
CLG0038,120,5.53,5.93,6,Yes,5,8,5,Yes,426
CLG0044,85,9.53,9.25,8,Yes,5,3,1,No,427
CLG0006,110,9.99,9.52,7,No,1,7,3,No,428
CLG0003,115,5.82,5.75,7,Yes,6,4,3,No,429
CLG0096,73,5.27,5.47,1,No,2,8,2,No,430
CLG0080,82,6.65,6.6,3,No,6,7,2,No,431
CLG0033,69,7.31,7.27,3,Yes,4,3,4,No,432
CLG0066,95,6.02,6.19,7,No,3,7,5,No,433
CLG0058,110,6.51,6.26,2,Yes,9,6,1,No,434
CLG0026,122,6,6.25,10,Yes,0,6,2,No,435
CLG0099,101,8.87,8.52,7,No,7,10,0,No,436
CLG0028,124,8.56,8.46,9,Yes,1,3,5,Yes,437
CLG0043,79,8.17,8.33,1,No,9,4,3,No,438
CLG0075,74,6.94,7.27,2,No,7,4,5,No,439
CLG0088,99,9.55,9.84,6,No,6,6,4,No,440
CLG0016,105,9.85,10.07,2,No,2,9,2,Yes,441
CLG0089,99,5.87,5.73,2,Yes,10,5,2,No,442
CLG0023,68,6.12,5.74,5,No,6,8,2,No,443
CLG0059,98,7.63,7.35,7,No,0,5,5,No,444
CLG0035,80,5.46,5.82,4,Yes,4,6,1,No,445
